Date,symbol,adj_close,ret
2017-05-31,SPY,241.44,0.014112903225806495
2017-06-30,SPY,241.8,0.0014910536779324524
2017-07-31,SPY,246.77,0.020554177005789986
2017-08-31,SPY,247.49,0.002917696640596601
2017-09-29,SPY,251.23,0.01511172168572461
2017-10-31,SPY,257.15,0.02356406480117812
2017-11-30,SPY,265.01,0.030565817616177382
2017-12-29,SPY,266.86,0.006980868646466298
2018-01-31,SPY,281.9,0.05635913962377259
2018-02-28,SPY,271.65,-0.03636041149343738
2018-03-29,SPY,263.15,-0.03129026320633166
2018-04-30,SPY,264.51,0.005168155044651401
2018-05-31,SPY,270.94,0.024309099844996407
2018-06-29,SPY,271.28,0.0012548903816342882
2018-07-31,SPY,281.33,0.037046593925095905
2018-08-31,SPY,290.31,0.031919809476415706
2018-09-28,SPY,290.72,0.0014122834211705015
2018-10-31,SPY,270.63,-0.06910429279031383
2018-11-30,SPY,275.65,0.018549310867235658
2018-12-31,SPY,249.92,-0.09334300743696711
2019-01-31,SPY,269.93,0.08006562099871961
2019-02-28,SPY,278.68,0.03241581150668682
2019-03-29,SPY,282.48,0.013635711209990076
2019-04-30,SPY,294.02,0.040852449730954365
2019-05-31,SPY,275.27,-0.06377117202911364
2019-06-28,SPY,293.0,0.0644094888654776
2019-07-31,SPY,297.43,0.01511945392491465
2019-08-30,SPY,292.45,-0.016743435430185305
2019-09-30,SPY,296.77,0.014771755855701896
2019-10-31,SPY,303.33,0.022104660174546042
2019-11-29,SPY,314.31,0.03619819998021967
2019-12-31,SPY,321.86,0.024020871114504905
2020-01-31,SPY,321.73,-0.0004039023177778711
2020-02-28,SPY,296.26,-0.07916576010940857
2020-03-31,SPY,257.75,-0.129987173428745
2020-04-30,SPY,290.48,0.12698351115421924
2020-05-29,SPY,304.32,0.04764527678325514
2020-06-30,SPY,308.36,0.013275499474237673
2020-07-31,SPY,326.52,0.05889220391749883
2020-08-31,SPY,349.31,0.0697966433909103
2020-09-30,SPY,334.89,-0.04128138329850284
2020-10-30,SPY,326.54,-0.02493356027352256
2020-11-30,SPY,362.06,0.10877687266491076
2020-12-31,SPY,373.88,0.03264652267579948
2021-01-29,SPY,370.07,-0.010190435433829026
2021-02-26,SPY,380.36,0.02780555030129439
2021-03-31,SPY,396.33,0.041986539068251005
2021-04-30,SPY,417.3,0.052910453410037084
2021-05-28,SPY,420.04,0.006566019650131816
2021-06-30,SPY,428.06,0.01909341967431666
2021-07-30,SPY,438.51,0.024412465542213768
2021-08-31,SPY,451.56,0.029759868646097143
2021-09-30,SPY,429.14,-0.049650101869076146
2021-10-29,SPY,459.25,0.07016358297991343
2021-11-30,SPY,455.56,-0.008034839412084938
2021-12-31,SPY,474.96,0.04258495039072785
2022-01-31,SPY,449.91,-0.0527412834765032
2022-02-28,SPY,436.63,-0.029517014514014006
2022-03-31,SPY,451.64,0.03437693241417206
2022-04-29,SPY,412.0,-0.08776901957311134
2022-05-31,SPY,412.93,0.002257281553398105
2022-06-30,SPY,377.25,-0.08640689705276927
2022-07-29,SPY,411.99,0.09208747514910542
2022-08-31,SPY,395.18,-0.040801961212650784
2022-09-30,SPY,357.18,-0.09615871248544972
2022-10-31,SPY,386.21,0.08127554734307618
2022-11-30,SPY,407.68,0.055591517568162496
2022-12-30,SPY,382.43,-0.061935832025117765
2023-01-31,SPY,406.48,0.06288732578511103
2023-02-28,SPY,396.26,-0.02514268844715617
2023-03-31,SPY,409.39,0.03313481047796896
2023-04-28,SPY,415.93,0.0159749871760424
2023-05-31,SPY,417.85,0.004616161373308003
2023-06-30,SPY,443.28,0.06085915998564073
2023-07-31,SPY,457.79,0.032733261144197945
2023-08-31,SPY,450.35,-0.016251993272024312
2023-09-29,SPY,427.48,-0.050782724547574154
2023-10-31,SPY,418.2,-0.02170861794703849
2023-11-30,SPY,456.4,0.0913438546150167
2023-12-29,SPY,475.31,0.041432953549517926
2024-01-31,SPY,482.88,0.01592644800235643
2024-02-29,SPY,508.08,0.05218687872763428
2024-03-28,SPY,523.07,0.029503227838135748
2024-04-30,SPY,501.98,-0.040319651289502434
2024-05-31,SPY,527.37,0.050579704370691925
2024-06-28,SPY,544.22,0.031951002142708296
2024-07-31,SPY,550.81,0.01210907353643731
2024-08-30,SPY,563.68,0.023365588860042585
2024-09-30,SPY,573.76,0.017882486517172946
2024-10-31,SPY,568.64,-0.008923591745677695
2024-11-29,SPY,602.55,0.059633511536297146
2024-12-31,SPY,586.08,-0.027333831217326243
2025-01-31,SPY,601.82,0.026856401856401924
2025-02-28,SPY,594.18,-0.012694825695390821
2025-03-31,SPY,559.39,-0.05855128075667304
2025-04-30,SPY,554.54,-0.0086701585655804
2025-05-30,SPY,589.39,0.06284488044144698
2025-06-30,SPY,617.85,0.048287212202446694
2025-07-31,SPY,632.08,0.023031480132718274
2025-08-29,SPY,645.05,0.020519554486773783
2025-09-30,SPY,666.18,0.03275715060848006
2025-10-31,SPY,682.06,0.0238374013029512
2025-11-28,SPY,683.39,0.0019499750755065381
2025-12-31,SPY,681.92,-0.002151041133174325
2015-02-27,T,34.56,0.049817739975698716
2015-03-31,T,32.65,-0.05526620370370383
2015-04-30,T,34.64,0.06094946401225121
2015-05-29,T,34.54,-0.0028868360277136684
2015-06-30,T,35.52,0.028372900984366067
2015-07-31,T,34.74,-0.02195945945945954
